Date,Open,High,Low,Close,Volume 
12-07-2012	695	696.88	682.42	684.21	1919300	684.21
12-06-2012	687.59	695.61	684.51	691.13	1462300	691.13
12-05-2012	692.15	694.5	682.33	687.82	1862400	687.82
12-04-2012	695	695.51	685.7	691.03	1991700	691.03
12-03-2012	702.24	705.89	694.11	695.25	2192500	695.25
11-30-2012	691.31	699.22	685.69	698.37	3163600	698.37
11-29-2012	687.78	693.9	682	691.89	2776500	691.89
11-28-2012	668.01	684.91	663.89	683.67	3042000	683.67
11-27-2012	660.17	675	658	670.71	2508700	670.71
11-26-2012	666.44	667	659.02	661.15	2204600	661.15
11-23-2012	669.97	670	666.1	667.97	922500	667.97
11-21-2012	668.99	669.8	660.4	665.87	2112200	665.87
11-20-2012	669.51	678	664.57	669.97	2088700	669.97
11-19-2012	655.7	668.92	655.53	668.21	2368200	668.21
11-16-2012	645.99	653.02	636	647.18	3438200	647.18
11-15-2012	650	660	643.9	647.26	1848900	647.26
11-14-2012	660.66	662.18	650.5	652.55	1668400	652.55
11-13-2012	663	667.6	658.23	659.05	1594200	659.05
11-12-2012	663.75	669.8	660.87	665.9	1405900	665.9
11-09-2012	654.65	668.34	650.3	663.03	3114100	663.03
11-08-2012	670.2	671.49	651.23	652.29	2597000	652.29
11-07-2012	675	678.23	666.49	667.12	2232300	667.12
11-06-2012	685.48	686.5	677.55	681.72	1582800	681.72
11-05-2012	684.5	686.86	675.56	682.96	1635900	682.96
11-02-2012	694.79	695.55	687.37	687.92	2324400	687.92
11-01-2012	679.5	690.9	678.72	687.59	2050100	687.59
10-31-2012	679.86	681	675	680.3	1537000	680.3
10-26-2012	676.5	683.03	671.2	675.15	1950800	675.15
10-25-2012	680	682	673.51	677.76	2401100	677.76
10-24-2012	686.8	687	675.27	677.3	2496500	677.3
10-23-2012	672.01	687.33	672	680.35	2916600	680.35
10-22-2012	681.01	684.63	669.7	678.67	4055600	678.67
10-19-2012	705.58	706.7	672	681.79	11482200	681.79
10-18-2012	755.54	759.42	676	695	12442400	695
10-17-2012	743.95	756.34	740.26	755.49	2292900	755.49
10-16-2012	740.13	746.99	736.46	744.7	2058200	744.7
10-15-2012	741.94	743.83	730.7	740.98	3019100	740.98
10-12-2012	751.85	754.87	744.1	744.75	2404200	744.75
10-11-2012	752.9	758.5	750.29	751.48	2383900	751.48
10-10-2012	741.86	747.53	738.29	744.56	2039900	744.56
10-09-2012	759.67	761.32	742.53	744.09	3003200	744.09
10-08-2012	761	763.58	754.15	757.84	1958600	757.84
10-05-2012	770.71	774.38	765.01	767.65	2735900	767.65
10-04-2012	762.75	769.89	759.4	768.05	2454200	768.05
10-03-2012	755.72	763.92	752.2	762.5	2208300	762.5
10-02-2012	765.2	765.99	750.27	756.99	2790200	756.99
10-01-2012	759.05	765	756.21	761.78	3168000	761.78
09-28-2012	754.15	759.3	751.15	754.5	2783500	754.5
09-27-2012	759.95	762.84	751.65	756.5	3931100	756.5
09-26-2012	749.85	761.24	741	753.46	5672900	753.46
09-25-2012	753.05	764.89	747.66	749.16	6058500	749.16
09-24-2012	731	750.04	730.25	749.38	3563800	749.38
09-21-2012	732.21	734.92	730.12	733.99	6359100	733.99
09-20-2012	724.47	731.38	721.22	728.12	2907400	728.12
09-19-2012	717.5	728.56	716.41	727.5	3098300	727.5
09-18-2012	707.78	718.66	706.78	718.28	2066800	718.28
09-17-2012	708.11	712.88	705	709.98	1508300	709.98
09-14-2012	709.6	713	707.01	709.68	2618500	709.68
09-13-2012	693.09	709	690.54	706.04	2659000	706.04
09-12-2012	689.41	694.91	680.88	690.88	2642300	690.88
09-11-2012	697.96	700.65	691	692.19	1873800	692.19
09-10-2012	709.76	712.81	698.39	700.77	2560000	700.77
09-07-2012	700	712.25	697.67	706.15	3233000	706.15
09-06-2012	685.96	699.89	684.73	699.4	3043500	699.4
09-05-2012	680	686.5	679.14	680.72	1708200	680.72
09-04-2012	684.55	685	673.5	681.04	1889600	681.04
08-31-2012	684	688.58	680.04	685.09	2127100	685.09
08-30-2012	684.24	687.39	680.18	681.68	1626900	681.68
08-29-2012	677.37	688.99	676.15	688.01	2990300	688.01
08-28-2012	665	677.62	664.74	677.25	2058600	677.25
08-27-2012	662.99	672	659.24	669.22	2613700	669.22
08-24-2012	675.6	680.45	674.08	678.63	1426600	678.63
08-23-2012	674.27	680.48	671	676.8	1784200	676.8
08-22-2012	667.38	680.6	666.7	677.18	1909200	677.18
08-21-2012	673.11	678	662.17	669.51	2222200	669.51
08-20-2012	675.5	678.87	672.66	675.54	1758100	675.54
08-17-2012	674.12	677.25	671.7	677.14	2177700	677.14
08-16-2012	667.51	674.64	667.08	672.87	1717700	672.87
08-15-2012	670.28	674.25	664.1	667.54	2410700	667.54
08-14-2012	659.25	672.85	659	668.66	3661700	668.66
08-13-2012	647.42	660.15	646.68	660.01	3267900	660.01
08-10-2012	638.59	642.24	636.13	642	1434600	642
08-09-2012	644.51	646.37	641.52	642.35	1070300	642.35
08-08-2012	639.05	645.87	638.5	642.23	1322200	642.23
08-07-2012	641.79	644.26	636.47	640.54	1981800	640.54
08-06-2012	639.61	649.38	639.22	642.82	1782400	642.82
08-03-2012	640	643.72	636.14	641.33	1897100	641.33
08-02-2012	625.51	638.03	623.41	628.75	1977700	628.75
08-01-2012	637.3	639.51	631.38	632.68	1844600	632.68
07-31-2012	628.26	636.5	628.22	632.97	1865600	632.97
07-30-2012	636.05	642.6	629.5	632.3	2186700	632.3
07-27-2012	618.89	635	617.5	634.96	3549700	634.96
07-26-2012	615	616.87	610.03	613.36	1685200	613.36
07-25-2012	608.32	613.38	605.37	607.99	1823000	607.99
07-24-2012	615	617.93	604.34	607.57	2009400	607.57
07-23-2012	600.48	618.35	598.25	615.51	3561700	615.51
07-20-2012	608.76	612.94	598.18	610.82	6463700	610.82
07-19-2012	586.14	598.48	586	593.06	4674700	593.06
07-18-2012	576.98	583.69	576.13	580.76	1548200	580.76
07-17-2012	578.43	580.67	568.4	576.73	1680100	576.73
07-16-2012	576.37	579.19	571.78	574.92	1462600	574.92
07-13-2012	572.15	579.15	568.55	576.52	1976000	576.52
07-12-2012	567.12	571.93	562.09	570.48	2309800	570.48
07-11-2012	576.3	577.85	564.94	571.19	3499300	571.19
07-10-2012	590.19	592.43	578.74	581.7	1923100	581.7
07-09-2012	584.95	588.6	581.25	586.01	1715100	586.01
07-06-2012	592.45	593.52	582.82	585.98	2161800	585.98
07-05-2012	588.76	600.06	588.54	595.92	2345900	595.92
07-03-2012	580.01	588.41	578	587.83	1189500	587.83
07-02-2012	581.82	583	576.5	580.47	1655500	580.47
06-29-2012	574.96	580.13	572.2	580.07	2519500	580.07
06-28-2012	565.9	566.23	557.21	564.31	1920900	564.31
06-27-2012	567.7	573.99	566.02	569.3	1692300	569.3
06-26-2012	562.76	566.6	559.48	564.68	1350200	564.68
06-25-2012	567.33	568.09	557.35	560.7	1581600	560.7
06-22-2012	568	571.48	565.82	571.48	2227900	571.48
06-21-2012	579.84	579.84	563.73	565.21	2011300	565.21
06-20-2012	579.81	580	573.51	577.51	2346700	577.51
