,Predicted_WindowFloatGlassType,NonWindowFloatGlassTypeProbability,WindowFloatGlassTypeProbability
1,1,0.18953795169916,0.81046204830084
2,0,0.561768554934013,0.438231445065987
3,0,0.744440850216983,0.255559149783017
4,0,0.723715019246261,0.276284980753739
5,1,0.359664435278077,0.640335564721923
6,0,0.806785307394322,0.193214692605678
7,1,0.273502308268458,0.726497691731542
8,1,0.184739749499736,0.815260250500264
9,0,0.677502271261477,0.322497728738523
10,1,0.365041267176979,0.634958732823021
11,0,0.776466493857007,0.223533506142993
12,1,0.261286559761878,0.738713440238122
13,0,0.667577620610853,0.332422379389147
14,1,0.351630794019983,0.648369205980017
15,1,0.222131563023379,0.777868436976621
16,1,0.311274684796293,0.688725315203707
17,1,0.14805535059341,0.85194464940659
18,0,0.562676821673075,0.437323178326925
19,0,0.53837067571487,0.46162932428513
20,0,0.641133725354544,0.358866274645456
21,0,0.76878956443536,0.23121043556464
22,1,0.185296517927416,0.814703482072584
23,0,0.502062946434298,0.497937053565702
24,1,0.290837642201781,0.709162357798219
25,1,0.498592463506143,0.501407536493857
26,1,0.291414979326187,0.708585020673813
27,0,0.699268675549545,0.300731324450455
28,0,0.576899814113043,0.423100185886957
29,1,0.446599238553376,0.553400761446624
30,0,0.501200425467254,0.498799574532746
31,1,0.308808032162687,0.691191967837313
32,1,0.231169172062591,0.768830827937409
33,1,0.445893121146537,0.554106878853463
34,1,0.219031228198527,0.780968771801473
35,1,0.397924640183111,0.602075359816889
36,0,0.680861918174756,0.319138081825244
37,0,0.710668280096755,0.289331719903245
38,1,0.412383427919084,0.587616572080916
39,1,0.0940915044159714,0.905908495584029
40,1,0.0940915044159714,0.905908495584029
41,1,0.269719270174926,0.730280729825074
42,1,0.383551406535117,0.616448593464883
43,0,0.564424268215934,0.435575731784066
44,1,0.128677063642749,0.871322936357251
45,0,0.58157820495167,0.41842179504833
46,0,0.795655380121304,0.204344619878696
47,1,0.479930645284794,0.520069354715206
48,1,0.128415543815603,0.871584456184397
49,1,0.113360005131874,0.886639994868126
50,0,0.819371469130995,0.180628530869005
51,1,0.130475280889864,0.869524719110136
52,0,0.590336793790593,0.409663206209407
53,0,0.665576315878898,0.334423684121102
54,0,0.812700610635631,0.187299389364369
55,0,0.779086533732585,0.220913466267415
