,Predicted_AverageOzoneReading
5,3.60531168417308
6,5.31558372305493
7,2.65243294877855
8,2.67570019930464
9,6.52640474079953
12,2.77839202900881
13,4.18651336298012
14,2.99254740060483
15,7.36717419019242
16,7.63213299849967
19,8.59182230714577
21,4.02587942488217
22,3.69281804761583
23,3.29498791615523
27,8.59889106270004
29,4.1363850034598
30,5.95365253350114
33,13.4368152016482
34,8.78199777823945
35,5.29276918945094
36,2.68861124201222
37,3.7565575798981
40,2.93393442251332
41,4.88912189083896
43,4.69652445002332
44,10.3395762496668
48,11.6832143771971
49,14.2891114094261
51,2.95625538521973
54,2.46910570309608
55,2.16567640661791
56,11.1298497077488
57,13.5945705322353
58,20.3442518295738
61,1.17740104549208
62,0.306350520025605
63,0.107666837658336
65,5.53578653091494
68,3.29106675213134
69,5.52393588400458
70,4.71236218553494
71,5.09393489999137
72,8.79163182802436
75,16.8141729891974
76,15.8861613680516
77,20.5619416501067
78,12.7086498783092
79,7.4998177499797
82,15.7307311787254
83,12.6190648697488
85,9.92077745667078
86,9.77170430300146
89,7.57462086582831
90,10.6237198759837
91,12
92,4.28215897561619
93,11.2895941538618
96,2.17912819973347
97,3.90251020802185
98,13.20683331741
99,2.25996735281804
100,11.1503599161066
103,1.57915421844465
104,1.10650941249729
105,2.38295819817883
106,5.07972221305097
110,14.322528225579
111,20.0831111951716
112,21.8082214651415
113,7.53758050091911
114,12.4146740717819
117,7.66531435396077
118,5.33573096033359
119,3.08874432031493
120,15.947444821889
121,23.843286274437
125,11.771096629519
127,6.10299939228669
128,12.3999952308066
131,19.8890885920886
132,25.8205298350586
133,27.8414098910675
134,28.3292764359312
135,28.1428745613925
146,8.55547835938551
149,10.6052361788831
154,15.0537656895453
155,13.8836623761718
156,13.185224603307
159,9.74999539724449
160,6.9193405179734
161,5.11267241316518
162,4.41504280338102
163,9.9634123331989
166,20.8465326750237
167,25.01357443259
168,18.4150153680784
169,17.0221628154484
170,22.6725758808841
173,18.3512664485507
174,17.290294175255
175,16.1553340843786
176,17.5504348249014
188,36.1912157086664
191,35.5076138281829
194,15.7079580520988
195,14.7306121269583
196,22.1247010487236
198,15.3326633000482
201,17.4380359747085
202,23.7659055307286
203,31.1887306901804
205,18.6453143360349
208,20.4891506474953
209,25.2029788659353
210,18.1683868266796
215,9.26408788586126
216,9.16772309347276
222,18.9371637117285
224,25.7512076436905
225,18.8989843071192
229,4.61556844102643
230,8.41120668798711
231,4.49289764217751
233,17.5987011112369
237,17.4064449830426
238,23.4905539339889
239,22.6141355041083
240,33.4172615235511
243,28.8231081310499
244,30.8693112032691
245,19.8384606133938
246,17.1139033659467
247,17.4778868583849
251,24.4197289833878
252,16.8057905552372
257,12.7003940608261
258,17.3278295110795
259,6.60716621511612
261,7.05324111059518
265,16.9851766723094
266,16.3215281309606
268,8.76994070718508
271,10.1159257751502
272,7.75356840364538
273,8.11925663270541
274,4.50072087678282
275,3.475694129053
278,15.9109527402703
279,24.7812789552705
280,26.2791768471462
281,29.3535263721099
282,14.111869373324
286,16.5838964008492
287,21.1120624120096
288,20.6317785101283
289,15.1734251463306
292,8.48120029185864
293,17.1052150221498
294,11.5255974147639
295,13.4500780040487
296,9.53852021778471
301,6.02695413461396
302,4.40378088667773
303,8.36171154217597
308,10.2125133649156
310,7.10536467815434
314,12.8247306391114
315,11.6460594530365
316,3.01419528744394
317,0.222655818871639
320,4.85361734936011
321,6.32953120808191
322,8.09439386746092
323,4.98049220742321
324,10.8019708014552
327,11.8341045842474
328,9.59665552209849
329,7.81703001550869
331,1.62684966297441
334,0.970525836922217
335,3.74431785096838
336,1.22448128344173
337,3.81411218997012
338,5.34243067853658
341,2.23692408526822
342,6.16016152597785
343,3.66605140830951
344,4.69086563308896
345,6.76654556067732
348,1.24466840426508
349,3.03707381653877
350,4.77945464290386
351,2.73021234579525
352,2.02267420521802
355,2.09676220897733
356,1.49165173474758
357,1.59625027925297
358,1.23063308109586
362,4.48910044087794
363,1.34035540442623
364,2.42284103311711
365,1.35447797315468
