,Predicted_Survival
1,0.129130862864269
2,0.00775619015268028
3,0.0780696533573868
4,0.106364937509885
5,0.0792219673778014
6,0.0670442716538348
7,0.16529712229652
8,0.0680338502018724
9,0.0803912896407858
10,0.10952801929115
11,0.0815778711892937
12,0.0690380350045321
13,0.170212730092397
14,0.082781966771692
15,0.082781966771692
16,0.131866465620601
17,0.0135129599534762
18,0.0322265390664596
19,0.0672408720154404
20,0.0650790854500634
21,0.0347881134059486
22,0.116139171414309
23,0.0660396577002893
24,0.0310964402891278
25,0.117853394416266
26,0.0877787171824442
27,0.0877787171824442
28,0.183150833403865
29,0.089074337723249
30,0.0680035458292448
31,0.115761517244376
32,0.06900728333706
33,0.0903890817217623
34,0.14398412120617
35,0.0267313070697605
36,0.0598929790729875
37,0.191381086671862
38,0.0640184986619778
39,0.03570732149321
40,0.0792557501107076
41,0.0944508979931159
42,0.0721082652362145
43,0.150454339015573
44,0.0958450004300767
45,0.0958450004300767
46,0.0321692184763457
47,0.0605793730984978
48,0.0550117526869157
49,0.103748015256141
50,0.0378626287454541
51,0.0986952401968938
52,0.0331258670793743
53,0.100151989447546
54,0.0847570113371708
55,0.0562486411603539
56,0.101630240427918
57,0.0389885880510233
58,0.212052121868227
59,0.103130310505174
60,0.0872775163519943
61,0.140508489028919
62,0.0683354826846299
63,0.0683354826846299
64,0.218358130399446
65,0.0487285752040618
66,0.069344119605673
67,0.144686932152802
68,0.0290074283024031
69,0.0703676440843732
70,0.224851667087636
71,0.109355294538218
72,0.0879693371287587
73,0.00899220750137547
74,0.00878922810792883
75,0.0132638255571686
76,0.231538308647369
77,0.013459600631049
78,0.0952977425599237
79,0.222569851471162
80,0.0282324287330848
81,0.0746150613443663
82,0.0434231259982761
83,0.115956020930824
84,0.0757163853239619
85,0.157982703775321
86,0.117667540617717
87,0.111464554209327
88,0.145707433860051
89,0.119404322465342
90,0.0429244627401229
91,0.140916667480527
92,0.0380268237101714
93,0.121166739345113
94,0.252815147044831
95,0.0938697690797821
96,0.104054974483815
97,0.256546717840711
98,0.0200706548552186
99,0.124769997286031
100,0.179057534876146
101,0.126611611934192
102,0.0870835859003722
103,0.264175907198058
104,0.128480408954606
105,0.0461872100870427
106,0.268075163677736
107,0.130376789561156
108,0.110335771579718
109,0.139074415655747
110,0.132301160889669
111,0.0326875193908771
112,0.27604718609499
113,0.0876644668754184
114,0.061602405382811
115,0.0630693187000507
116,0.136235534391383
117,0.0336595812326886
118,0.18561225109877
119,0.105543800410072
120,0.0706774811851155
121,0.28845192492831
122,0.140286908339252
123,0.140286908339252
124,0.292709497275773
125,0.0929559268147093
126,0.0929559268147093
127,0.297029911714855
128,0.144458762093941
129,0.144458762093941
130,0.0484858412830069
131,0
132,0.0175215642617918
133,0.305862990774847
134,0.076049773568129
135,0.00881782218324816
136,0.310377551778242
137,0.115242577248764
138,0.061603075992825
139,0.186921406088197
140,0.15317834688975
141,0.15317834688975
142,0.319607563117759
143,0.155439270938394
144,0.131545744840816
145,0.324324995054151
146,0.157733566397929
147,0.157733566397929
148,0.195321097668763
149,0.160061725832918
150,0.110090605735101
151,0.218073921604415
152,0.162424249078214
153,0.162424249078214
154,0.338899194913518
155,0.16482164334627
156,0.139485895095748
157,0.140346731079226
158,0.167254423336034
159,0.167254423336034
160,0.348977383217033
161,0.11082495237163
162,0.143633928309041
163,0.354128315931537
164,0.0880504639427954
165,0.0313672063198435
166,0.23465001979474
167,0.174770339254434
168,0.0281137712142752
169,0.216417692712275
170,0.0285287326153286
171,0.121981471366151
172,0.241628044884231
173,0.179967661689281
174,0.152303725829744
175,0.00737193143484138
176,0.182623998061577
177,0.0255956766139773
178,0.381046095433406
179,0.185319542160731
180,0.1568329358464
181,0.139003491020852
182,0.111606619737288
183,0.0676035356967189
184,0
185,0.190830576917523
186,0.161496835564594
187,0.377179204240565
188,0.0696139304481989
189,0.10953022542002
190,0.404046179970217
191,0.0572684667690817
192,0.128313182471456
193,0.346984784556551
194,0.199405934998728
195,0.0914973936832841
196,0.246923891946748
197,0.024186168105129
198,0.17124484483415
199,0.193727719069571
200,0.205335871073874
201,0.0738158532718067
202,0.428434558193908
203,0.106525967907614
204,0.176337326073845
205,0.0344346295914365
206,0.0862898992111148
207,0.211442151658804
208,0.44117535019937
209,0.214563053896549
210,0.163807543697385
211,0.307919630855958
212,0.217730020888655
213,0.217730020888655
214,0.102284405794011
215,0.124969586393627
216,0.151965307282007
217,0.461000457190456
218,0.224204878848716
219,0.224204878848716
220,0.467804858995678
221,0.227514159910334
222,0.173695028172253
223,0.474709694288991
224,0.185721981411515
225,0.158794175836059
226,0.481716445476316
227,0.161137989947009
228,0.198267362649689
229,0.175727473410277
230,0.134468696235026
231,0.097021266687069
232,0.496041734881766
233,0.228529372793142
234,0.204163439846729
235,0.230968223056352
236,0.125156262244552
237,0.0880055603062924
238,0.0610535015797334
239,0.248421205668015
240,0.162212842248389
241,0.162672808654667
242,0.173386309800671
243,0.252087921555034
244,0.445130918185109
245,0.195296457691858
246,0.216486821275057
247,0.191875665368608
248,0.259584515175216
249,0.0528456205587091
250,0.337357516181515
251,0.0369190844735893
252,0.0103812342369235
253,0.358887550093355
254,0.267304042585955
255,0.226215094606735
256,0.125573106779902
257,0.153423379591711
258,0.0380169846483394
259,0.565963689058754
260,0.210141209577391
261,0.0989502944664689
262,0.574317356148352
263,0.279315890575698
264,0.165768118311378
265,0.0937490100425212
266,0.283438614361361
267,0.283438614361361
268,0.302347218391128
269,0.147044803128305
270,0.24341001453456
271,0.0596222353944893
272,0.1492151956046
273,0.11196964869878
274,0.418859332606962
275,0.296175501978903
276,0.250648544452186
277,0.403520284837593
278,0.300547074910978
279,0.300547074910978
280,0.627093320726364
281,0.199146393847664
282,0.117001231411197
283,0.396357870242517
284,0.126301248128893
285,0.236275236415216
286,0.645741829383252
287,0.0775927119870348
288,0.265777784143966
289,0.620729519422357
290,0.208095439988013
291,0.318688208524698
292,0.664944907613171
293,0.116255681564532
294,0.0588980411057102
295,0.674759545015726
296,0.32816536227374
297,0.133924838604909
298,0.447104434950747
299,0.333009107976457
300,0.281820230390173
