,Predicted_TipAmount
1,2.66968398747696
2,2.27371407849757
3,3.2394898669204
4,3.32879357690967
5,3.66231730809744
6,3.77925286073045
7,1.97924184257186
8,3.92316884044857
9,2.54675957391311
10,2.52322614326738
11,2.11501163475876
12,4.62809309652027
13,2.58115458793379
14,3.15833234446235
15,2.47417548672782
16,3.13871586784801
17,2.21923263027053
18,2.81226758750562
19,2.82024024368455
20,3.13154949242048
21,2.7320819505369
22,2.89302190591308
23,2.48390226545655
24,4.982848678756
25,2.90405702064031
26,3.0268585393167
27,2.32024691423663
28,2.25869794177857
29,3.07422182684789
30,2.83509346124667
31,1.97448651013398
32,3.07573566450398
33,2.41963789715475
34,3.23396022403643
35,2.71941010326612
36,3.4401994866587
37,2.73872222702638
38,2.74126409151784
39,2.95414363062959
40,4.09279962110375
41,2.71428366443273
42,2.76580150530798
43,2.44719505964272
44,2.06160884983192
45,4.24177528611383
46,2.84092745698473
47,3.19754944446233
48,4.42280167569637
49,3.92195935564657
50,2.81829915828692
51,2.32047658693494
52,2.06324558237546
53,4.5873621588642
54,2.08514228047764
55,3.80369142332409
56,2.94954329073426
57,4.81826805517992
58,3.44696265803564
59,2.09049679041083
60,5.78389045265873
61,2.90964120327181
62,2.32311570102439
63,2.07058388755675
64,3.03334785389611
65,2.8545791163592
66,3.07995697138946
67,2.54545123791461
68,1.14506115258362
69,2.94116743050473
70,2.43173153477391
71,2.19805410126842
72,2.75393593878862
73,3.45073657677131
74,3.30772572900111
75,2.38976854287363
76,2.0613791771336
77,2.6951249316165
78,3.91388902858085
79,3.20727740350078
80,2.71217022799255
81,2.86981657787338
82,2.65514691527405
83,1.85272212521705
84,4.06821127690977
85,2.59359794281599
86,4.5509283885591
87,2.32658401818174
88,2.8017782908359
89,3.38377813334376
90,3.06245629183476
91,3.87511174782305
92,3.32554326449603
93,1.71981904849068
94,2.67654351743438
95,3.29550037886263
96,5.19359256969209
97,3.7221444486258
98,2.34181822805896
99,3.15462671728455
100,2.41769592073961
101,2.22669293932178
102,2.59146111433059
103,5.18165321403445
104,3.04885799189808
105,2.95004521863158
106,2.46341115295085
107,2.92774384223006
108,3.35496612164485
109,2.7610461728701
110,2.3147959821409
111,2.37727022695513
112,1.56036332573152
113,4.78364497005944
114,3.35323213950331
115,3.61132556616024
116,2.69864820981017
117,4.19923408456193
118,2.0575862982994
119,2.21869978502786
120,3.57791154455297
121,2.20529633716145
122,2.30830784787121
123,2.437915247775
124,2.59088254697225
125,2.22322544476742
126,4.40038005896586
127,1.91836950967312
128,2.40787236214161
129,2.12366093049703
130,3.36507471529168
131,2.87418884666892
132,2.9283232321914
133,2.10465315959086
134,2.20331254191334
135,2.74639171066095
136,1.86388806144609
137,2.0286220759662
138,2.37438248006884
139,2.55845118779141
140,2.28477441722548
141,2.67488628677585
142,4.8612657518057
143,5.33253514381412
144,4.15146877328988
145,2.58075256419293
146,1.84940595027948
147,2.93315324478505
148,2.16801239594475
149,2.03241613511012
150,1.82695118293394
151,2.45896177496558
152,2.37387937186179
153,2.90006538645315
154,3.71227309658491
155,3.27962002548265
156,4.29078323280293
157,6.15492779776151
158,3.69942771796186
159,2.3438364862284
160,2.98273674656729
161,3.43620785247154
162,2.33133817030989
163,2.75145021564319
164,2.43542834431985
165,2.67979382984802
166,3.55719118063775
167,3.06449504811917
168,4.36034757129039
169,1.97808689751738
170,1.98170742530903
171,5.82447042840473
172,2.50414209060693
173,1.80470476756874
174,4.03132935943393
175,2.67091604172117
176,4.12636821396477
177,2.76776516014783
178,2.4591151659096
179,1.96383445904909
180,4.28295604095366
181,4.58949934505632
182,3.26015693981233
183,5.40562400921947
184,3.55040786885256
185,4.81879415411797
186,3.51525868479404
187,3.13900008029384
188,4.36261557898433
189,2.89008879461785
190,3.39170542511376
191,2.56863613160704
192,2.84973014366702
193,3.68443533099479
194,2.51138432649995
195,2.61094884077035
196,1.83147684267351
197,2.04614650527284
198,5.26342062251041
199,2.23333528713848
200,2.33307333276116
201,2.95610846577917
202,2.20980185649275
203,2.23333528713848
204,2.5410801494288
205,3.2732090004027
206,2.6997825931676
207,3.63224085056022
208,4.88343755542963
209,3.26988371854105
210,2.17450053021443
211,3.94632163648592
212,3.72124813430975
213,5.7893212443462
214,2.22066225955798
215,3.72167538205129
216,2.18717237748521
217,4.07817447464143
218,2.12217640858777
219,1.77370060864139
220,4.05235289589351
221,2.32124105331653
222,2.38171136247441
223,1.84483729586037
224,2.80274868016387
225,2.43528767875353
226,2.63967396762952
227,2.08030242381948
228,3.26581337356565
229,2.31210072670541
230,3.0217040334607
231,3.55108332810216
232,2.64564702733539
233,2.160943691404
234,2.08491260777933
235,2.47879839606537
236,2.02155337142544
237,2.21359473532695
238,4.04467666595431
239,4.45196347307281
240,3.89005006477131
241,3.47970079910452
242,3.12506260687503
243,2.72303063105777
244,2.82580246201771
