,Predicted_price
4,12372.8678637726
5,14108.1165655203
7,19204.2780561928
9,22671.5050534665
11,11897.0572143964
12,12253.8156732681
13,14406.423980606
14,14979.9947943868
19,-1232.38015009108
20,5235.03853064056
21,5757.02625227756
22,5277.58417876866
23,6327.35576165524
24,9144.12794452521
25,7067.78848658243
26,7358.48571864596
27,7358.48571864596
29,9534.59017927322
30,12899.5199174492
31,2901.601662664
32,6928.15059139171
33,6332.40166819755
34,7497.9671021153
35,7523.30094538852
36,8115.49624641882
37,8288.68851657625
38,8774.64164638473
39,8858.56000222725
40,9286.52404091108
41,6586.2616782374
42,10002.6816123398
43,9699.24221938364
48,24334.9811589379
51,6461.46597958985
52,6267.95847243911
53,6275.87529846199
54,6773.3495688581
55,6643.15914344637
60,9514.69370126807
61,10433.7282461653
62,9514.69370126807
63,10433.7282461653
65,10201.615526671
66,13478.220440392
68,24990.9972404485
69,25270.743636114
70,23915.3096036684
71,26518.3997262304
73,32691.3363705315
77,6347.57113106035
78,7448.80563988767
79,7543.80755216222
80,9342.38746764408
81,10876.5893937681
82,8205.86188072245
86,9100.5459081948
87,9163.88051637784
88,11764.9399604221
89,8484.82967690708
90,6393.19483459983
91,5156.3495999574
92,6439.11242553253
93,6929.35814469881
94,6187.22522739286
95,6491.36347728353
96,6165.7255096
97,6981.60919644981
98,6207.80897505234
99,6406.42685367206
100,8562.32930580955
101,8783.35846887175
102,17256.4177783358
103,17079.40595859
104,16612.7250640735
105,18978.2735716276
106,21184.7073639174
107,19097.1432337578
108,16632.8092381172
109,19377.2003226579
112,18811.405133402
113,19464.2854089095
116,16719.8943243689
117,19464.2854089095
118,19281.0546682449
119,5338.44130548147
120,9148.7791632676
121,7095.69579903682
122,6961.43216522636
123,7780.99311141953
124,9339.52485425993
126,17122.6486205008
133,12238.2012632777
134,12750.0195738381
135,17147.6284751725
136,12849.7715817264
137,15674.5937362073
138,16199.8742077987
139,6001.94876826981
140,6461.24739998204
141,7301.63935504375
142,8480.92086797046
143,8882.66212242882
144,9662.1860528108
145,10193.4085105529
146,12072.0080048489
147,8436.08535862019
148,9542.02479488372
149,9917.23335909878
150,12012.3374669702
151,5280.03145688635
152,6068.80275876742
153,6455.23851253099
154,6848.47346158791
155,7739.43294838558
156,9084.30460356176
157,7214.90677323966
158,6973.70200291458
159,8441.3562380187
160,7403.87975924106
161,5791.91707596433
162,7357.69167516251
163,7642.05544640775
164,8474.29504495936
165,8273.84962955665
166,10839.9729872194
167,10639.5275718167
168,11725.5030800139
169,11719.1696191956
170,11891.5133582494
171,11945.5908434499
172,12149.6018865952
173,20033.6636294685
174,9015.58932978122
175,14717.5536157512
176,9109.06407564826
177,9513.30626566285
178,9178.7321446496
179,18652.9440842702
180,18890.4439646832
181,17743.0620705249
183,9628.09429896852
184,9372.86764848839
185,9989.09599732426
186,9733.86934684411
187,9833.62135473239
188,12920.6306766894
189,11241.998255618
191,8029.7565225162
195,15712.4656334599
196,15609.7289586009
197,15574.7177609352
198,15448.2306080076
199,17333.9957066497
200,17215.4253797449
201,17664.0718508674
202,20446.4764638301
203,21049.4443223426
204,24052.7466446758
205,21756.1761321855
