,Predicted_censored
1,0.742607113964732
2,0.742607113964732
3,0.756235339113643
4,0.742607113964732
5,0.749455761812783
6,0.811803039975785
7,0.742607113964732
8,0.742607113964732
9,0.811803039975785
10,0.742607113964732
11,0.805098956073999
12,0.811803039975785
13,0.742607113964732
14,0.742607113964732
15,0.742607113964732
16,0.742607113964732
17,0.756235339113643
18,0.742607113964732
19,0.742607113964732
20,0.74885907773643
21,0.742607113964732
22,0.742607113964732
23,0.742607113964732
24,0.742607113964732
25,0.811803039975785
26,0.7460508156343
27,0.811803039975785
28,0.742607113964732
29,0.742607113964732
30,0.742607113964732
31,0.742607113964732
32,0.742607113964732
33,0.742607113964732
34,0.742607113964732
35,0.745731232150602
36,0.742607113964732
37,0.749455761812783
38,0.742607113964732
39,0.742607113964732
40,0.744234320377785
41,0.7460508156343
42,0.7460508156343
43,0.811803039975785
44,0.74725365885849
45,0.749144144462574
46,0.742607113964732
47,0.742607113964732
48,0.811803039975785
49,0.742607113964732
50,0.746225445140577
51,0.742607113964732
52,0.742607113964732
53,0.742607113964732
54,0.811803039975785
55,0.811803039975785
56,0.754150250026358
57,0.742607113964732
58,0.742607113964732
59,0.742607113964732
60,0.742607113964732
61,0.811803039975785
62,0.742607113964732
63,0.811803039975785
64,0.742607113964732
65,0.742607113964732
66,0.811803039975785
67,0.811803039975785
68,0.811803039975785
69,0.811803039975785
70,0.811803039975785
71,0.811803039975785
72,0.742607113964732
73,0.746818687282393
74,0.811803039975785
75,0.811803039975785
76,0.74859443023464
77,0.742607113964732
78,0.811803039975785
79,0.811803039975785
80,0.749883403210525
81,0.811803039975785
82,0.744234320377785
83,0.811803039975785
84,0.7460508156343
85,0.74859443023464
86,0.74725365885849
87,0.74885907773643
88,0.811803039975785
89,0.811803039975785
90,0.749883403210525
91,0.811803039975785
92,0.742607113964732
93,0.742607113964732
94,0.742607113964732
95,0.74885907773643
96,0.742607113964732
97,0.811803039975785
98,0.811803039975785
99,0.742607113964732
100,0.742607113964732
101,0.744234320377785
102,0.742607113964732
103,0.744749965727292
104,0.742607113964732
105,0.811803039975785
106,0.742607113964732
107,0.742607113964732
108,0.74525345546907
109,0.742607113964732
110,0.742607113964732
111,0.744234320377785
112,0.742607113964732
113,0.811803039975785
114,0.811803039975785
115,0.74885907773643
116,0.749455761812783
117,0.74885907773643
118,0.749455761812783
119,0.757505499771983
120,0.745731232150602
121,0.811803039975785
122,0.805098956073999
123,0.742607113964732
124,0.742607113964732
125,0.742607113964732
126,0.74885907773643
127,0.811803039975785
128,0.811803039975785
129,0.742607113964732
130,0.742607113964732
131,0.742607113964732
132,0.746818687282393
133,0.742607113964732
134,0.811803039975785
135,0.811803039975785
136,0.811803039975785
137,0.74525345546907
138,0.742607113964732
139,0.742607113964732
140,0.761341358672522
141,0.74525345546907
142,0.811803039975785
143,0.74725365885849
144,0.742607113964732
145,0.794150417181905
146,0.811803039975785
147,0.742607113964732
148,0.811803039975785
149,0.811803039975785
150,0.742607113964732
151,0.811803039975785
152,0.74859443023464
153,0.805098956073999
154,0.744495657197869
155,0.7460508156343
156,0.811803039975785
