,Predicted_WindowFloatGlassType,NonWindowFloatGlassTypeProbability,WindowFloatGlassTypeProbability
1,1,0.25507937271942,0.74492062728058
2,0,0.678384127077662,0.321615872922338
3,0,0.756470333499957,0.243529666500043
4,0,0.706264227147352,0.293735772852648
5,1,0.366774227641965,0.633225772358035
6,0,0.776145290803643,0.223854709196357
7,1,0.267072625032156,0.732927374967844
8,1,0.165071142795975,0.834928857204025
9,0,0.826026160850046,0.173973839149954
10,1,0.364323307103296,0.635676692896704
11,0,0.72855829085107,0.27144170914893
12,1,0.200405690914704,0.799594309085296
13,0,0.631020365360425,0.368979634639575
14,1,0.344930624380618,0.655069375619382
15,1,0.171121308164961,0.828878691835039
16,1,0.267420831242365,0.732579168757635
17,1,0.0960827069733847,0.903917293026615
18,0,0.761598448738974,0.238401551261026
19,0,0.601109708522483,0.398890291477517
20,0,0.65387420804083,0.34612579195917
21,0,0.761328253986773,0.238671746013227
22,1,0.233280297334323,0.766719702665677
23,1,0.382178332165888,0.617821667834112
24,1,0.23464424093281,0.76535575906719
25,1,0.45645575365447,0.54354424634553
26,1,0.24894180255663,0.75105819744337
27,0,0.717838821626747,0.282161178373253
28,0,0.5089046625604,0.4910953374396
29,1,0.383381178464428,0.616618821535572
30,1,0.486033719750279,0.513966280249721
31,1,0.263204261699663,0.736795738300337
32,1,0.174963203369682,0.825036796630318
33,1,0.413069856961775,0.586930143038225
34,1,0.185498100854381,0.814501899145619
35,1,0.323384337579546,0.676615662420454
36,0,0.516915636739788,0.483084363260212
37,0,0.764019386529207,0.235980613470793
38,1,0.366663063782412,0.633336936217588
39,1,0.167511973083962,0.832488026916038
40,1,0.167511973083962,0.832488026916038
41,1,0.204696620940503,0.795303379059497
42,1,0.304014506391962,0.695985493608038
43,0,0.565138007562058,0.434861992437942
44,1,0.187771919527232,0.812228080472768
45,0,0.573366680589184,0.426633319410816
46,0,0.825017364073988,0.174982635926012
47,0,0.542694128962929,0.457305871037071
48,0,0.534082861716728,0.465917138283272
49,1,0.135753752636853,0.864246247363147
50,0,0.856888194300972,0.143111805699028
51,1,0.241191268949446,0.758808731050554
52,0,0.654940948752905,0.345059051247095
53,0,0.701436453818591,0.298563546181409
54,0,0.835581701170484,0.164418298829516
55,0,0.807032629739555,0.192967370260444
56,0,0.600771812416951,0.399228187583049
57,0,0.714189167290791,0.285810832709209
58,0,0.597615200014345,0.402384799985655
59,1,0.201487158516499,0.798512841483501
60,1,0.424377515820564,0.575622484179436
61,1,0.397193239228326,0.602806760771674
62,1,0.441803076538846,0.558196923461154
63,1,0.399271230570707,0.600728769429293
64,0,0.600006474397779,0.399993525602221
65,1,0.283309842184048,0.716690157815952
66,0,0.627483806972506,0.372516193027494
67,1,0.258910029504683,0.741089970495317
68,1,0.166314205276128,0.833685794723872
69,1,0.312575494311362,0.687424505688638
70,1,0.183117043561076,0.816882956438924
71,0,0.99902139042945,0.000978609570550371
72,0,0.913621637473577,0.0863783625264233
73,0,0.577200694434454,0.422799305565546
74,0,0.697008319722209,0.302991680277791
75,0,0.535199230424531,0.464800769575469
76,1,0.465112429547361,0.534887570452639
77,0,0.896198593837327,0.103801406162673
78,0,0.801598056347779,0.19840194365222
79,0,0.666099779285109,0.333900220714891
80,0,0.857721301512727,0.142278698487274
81,0,0.933640386947958,0.0663596130520421
82,0,0.631846859184985,0.368153140815015
83,0,0.556602279928029,0.443397720071971
84,0,0.75397364273169,0.24602635726831
85,0,0.999371506549984,0.000628493450016392
86,0,0.69756326790535,0.30243673209465
87,0,0.508664839471328,0.491335160528672
88,0,0.823084316661262,0.176915683338738
89,0,0.786228822717841,0.213771177282159
90,0,0.691723475572957,0.308276524427043
91,0,0.572357923778693,0.427642076221307
92,0,0.75240914749783,0.24759085250217
93,0,0.677517779296389,0.322482220703611
94,0,0.711404848664788,0.288595151335212
95,0,0.59606396448618,0.40393603551382
96,0,0.927338803504356,0.0726611964956443
97,1,0.416788683551826,0.583211316448174
98,1,0.302026857566792,0.697973142433208
99,0,0.884378977913675,0.115621022086325
100,0,0.716923082572919,0.283076917427081
101,0,0.751580372475666,0.248419627524334
102,0,0.963885661414909,0.0361143385850908
103,1,0.213421257474746,0.786578742525254
104,0,0.774677641256214,0.225322358743786
105,0,0.953716115561883,0.0462838844381169
106,0,0.999999982532646,1.74673536968873e-08
107,0,0.978568625830784,0.021431374169216
108,0,0.999999541378465,4.58621535207624e-07
109,0,0.999999747364546,2.52635454234652e-07
