,Predicted_TipAmount
1,2.84164324209908
2,2.2228709612068
3,3.23187641457518
4,3.35103562604487
5,3.82699216373206
6,3.76994193608679
7,1.94107580320301
8,3.92029982463934
9,2.53399653353287
10,2.50940970898968
11,2.08292286787524
12,4.83599761710044
13,2.56993112324985
14,3.12122802698583
15,2.63738346897106
16,3.15244973550377
17,2.34517083860129
18,2.78553098440659
19,2.97308051155031
20,2.93019093383068
21,2.53870071248037
22,2.88606459915479
23,2.45863211094248
24,4.83849910007594
25,2.71837366106519
26,2.79495572169813
27,2.10843128297464
28,2.04412728032324
29,2.89615531545436
30,2.82554318489463
31,1.74719409160939
32,2.84602066498013
33,2.39149116699764
34,3.19054761036111
35,2.52546165311097
36,3.25265659418554
37,2.51978009337906
38,2.70165573793588
39,2.74484410265898
40,3.93446815171001
41,2.49424762173806
42,2.76284313120406
43,2.42997535277325
44,2.02712968910415
45,4.25316760307017
46,2.8413318403227
47,3.21391679686172
48,4.44229702263313
49,3.94489432632753
50,2.81769066287733
51,2.29758475907919
52,2.20805968656314
53,4.79344349769878
54,2.05171651364733
55,3.7954744077278
56,2.9548094920605
57,4.66256149847818
58,3.46480062301744
59,1.8644070903342
60,5.67539678164205
61,2.72021771385662
62,2.1074383944726
63,1.84360285418229
64,2.79774542158737
65,2.64082292189937
66,2.87628904925525
67,2.5229361135939
68,1.08173037226495
69,2.7571451920756
70,2.22091604621039
71,1.98076892476965
72,2.71489479730527
73,3.46475338161322
74,3.31534114015849
75,2.36028481276977
76,1.8379762129996
77,2.4960993516745
78,3.70107342832886
79,3.01454898960537
80,2.49728002710066
81,2.65799279232495
82,2.43770425993834
83,1.8044397833238
84,3.91002954983175
85,2.37340025728694
86,4.54584768845384
87,2.09443436343155
88,2.59089908978431
89,3.19895017367924
90,2.86324545395499
91,3.80868157998301
92,3.23850362140493
93,1.73613454334936
94,2.7356835257396
95,3.38633597044039
96,5.13446345682934
97,3.64886722045233
98,2.20675539628473
99,3.05594649012244
100,2.29001958229667
101,2.26569691812566
102,2.646792698545
103,5.24729048384911
104,3.04488607018345
105,2.94564036631711
106,2.25401369463391
107,2.73913065581289
108,3.18547608598149
109,2.56896141961045
110,2.27796627385565
111,2.16800705013696
112,1.51961221995742
113,4.84515036344725
114,3.37656809768588
115,3.79957607504044
116,2.87190394922914
117,4.20872218947289
118,1.99261587864392
119,2.16094106205496
120,3.52927705830293
121,1.96771765232437
122,2.25456012473863
123,2.21074895646276
124,2.37056331599346
125,2.16566929754404
126,4.33684432554674
127,1.66794752231707
128,2.35858130549824
129,2.06164811678441
130,3.15355143583912
131,2.6665508576095
132,2.90232838674177
133,2.04178952773028
134,2.14486506139211
135,2.71225332008099
136,1.79024739971153
137,1.96235517151386
138,2.3235923628791
139,2.33269019067666
140,2.22997330019546
141,2.63754719935362
142,4.63913999507108
143,5.15736228181863
144,4.07679137364765
145,2.53919990118088
146,1.77511704614651
147,2.88151647344481
148,2.10798482457732
149,1.78709905664173
150,1.5724371654378
151,2.44226876504487
152,2.35337793785026
153,2.87725875289463
154,3.69996405084849
155,3.24794473809302
156,4.45773110082951
157,6.20023962318081
158,3.86576369474246
159,2.50121028688575
160,2.93777249000976
161,3.41154168601498
162,2.30893252425298
163,2.90121133211638
164,2.41768194050167
165,2.84821553037956
166,3.5637985459082
167,3.07490667348295
168,4.3770473728839
169,1.92618555346856
170,1.9299681418598
171,5.73966122003422
172,2.29656781403557
173,1.75473608352929
174,4.0810279441537
175,2.65972035613804
176,4.18032088942424
177,2.76090459560423
178,2.43843893524938
179,2.10020867600805
180,4.3439178373462
181,4.61246625883557
182,3.27533661681547
183,5.49098008985055
184,3.52686339054416
185,4.9037409192526
186,3.46827283473884
187,3.30211846018564
188,4.34956868849803
189,3.04206550828659
190,3.38691529721261
191,2.55286223408498
192,2.8162272594364
193,3.50907518035828
194,2.28351654159031
195,2.3875377223499
196,1.57716540092687
197,1.79745393331348
198,5.2862421246386
199,2.17224158582452
200,2.09722406332078
201,2.72228911783133
202,2.14765476128133
203,2.17224158582452
204,2.49376159908154
205,3.0277254532805
206,2.63370969241311
207,3.4493039491268
208,4.73064808952082
209,3.0965852587869
210,2.13139097369437
211,3.77744349206854
212,3.51643721592661
213,5.68107066422898
214,2.17961897568293
215,3.72196171507383
216,2.14463003306376
217,3.86348202367965
218,1.89750473875771
219,1.53343060609903
220,4.04158275699022
221,2.11733836073073
222,2.35973541954771
223,1.64546813606615
224,2.77775100104102
225,2.23648989505541
226,2.62924484242493
227,2.04483493597537
228,3.04460655552125
229,2.09992045909429
230,3.01651665724902
231,3.33865556153743
232,2.41854861250866
233,1.94199739375925
234,1.86256303754279
235,2.27008969529676
236,1.79636774069576
237,1.99301509563702
238,3.90605917451637
239,4.48892875280586
240,3.72264320179949
241,3.4950140887433
242,2.94528172313653
243,2.52924424150223
244,2.86313741699296
