,Predicted_Species,NonVersicolorProbability,VersicolorProbability
1,0,0.923597325605548,0.0764026743944521
2,0,0.729468029616791,0.270531970383209
3,0,0.83786370589721,0.16213629410279
4,0,0.744834685293383,0.255165314706617
5,0,0.942683242806805,0.0573167571931951
6,0,0.986374452123563,0.0136255478764372
7,0,0.917134874348229,0.0828651256517706
8,0,0.881156127324811,0.11884387267519
9,0,0.653936420185164,0.346063579814836
10,0,0.698585710054495,0.301414289945505
11,0,0.955739264659813,0.0442607353401869
12,0,0.859904835519917,0.140095164480083
13,0,0.665821488410405,0.334178511589595
14,0,0.728354762424399,0.271645237575601
15,0,0.993075797268483,0.00692420273151738
16,0,0.999299794754563,0.000700205245437172
17,0,0.994162998639376,0.00583700136062432
18,0,0.945343586017767,0.0546564139822325
19,0,0.971978453502442,0.0280215464975582
20,0,0.977274195499164,0.022725804500836
21,0,0.857381347587975,0.142618652412025
22,0,0.977933844034778,0.0220661559652224
23,0,0.967614510842916,0.032385489157084
24,0,0.91782542356628,0.0821745764337204
25,0,0.800786040740415,0.199213959259585
26,0,0.679190221645133,0.320809778354867
27,0,0.925840370279377,0.0741596297206225
28,0,0.913465663308465,0.086534336691535
29,0,0.900022560486192,0.0999774395138085
30,0,0.773449779652162,0.226550220347838
31,0,0.726494127470495,0.273505872529505
32,0,0.941652189924621,0.0583478100753786
33,0,0.984067827289851,0.0159321727101489
34,0,0.995187513969881,0.00481248603011892
35,0,0.755510710318456,0.244489289681544
36,0,0.863857080567762,0.136142919432238
37,0,0.939787716420762,0.0602122835792382
38,0,0.918477540840753,0.0815224591592466
39,0,0.736852718217638,0.263147281782362
40,0,0.883367375742991,0.116632624257009
41,0,0.952398903845373,0.0476010961546267
42,1,0.382836950158707,0.617163049841293
43,0,0.829477994569341,0.170522005430659
44,0,0.97428677008982,0.0257132299101797
45,0,0.968422714068022,0.0315772859319783
46,0,0.7798237911737,0.2201762088263
47,0,0.959972506219986,0.0400274937800143
48,0,0.814880421222171,0.185119578777829
49,0,0.954681328334848,0.0453186716651516
50,0,0.864346266329294,0.135653733670706
51,0,0.736967973522921,0.263032026477079
52,0,0.814706190544144,0.185293809455856
53,0,0.683756732243955,0.316243267756045
54,1,0.277874935238042,0.722125064761958
55,0,0.575825956710395,0.424174043289605
56,1,0.435215354023297,0.564784645976703
57,0,0.854974424408057,0.145025575591943
58,1,0.321840483061782,0.678159516938218
59,0,0.507360894125684,0.492639105874316
60,0,0.604175579209489,0.395824420790511
61,1,0.106530676142283,0.893469323857717
62,0,0.775289898951028,0.224710101048972
63,1,0.113686325923625,0.886313674076375
64,0,0.522147348874331,0.477852651125669
65,0,0.755305111577643,0.244694888422357
66,0,0.75068852151058,0.24931147848942
67,0,0.686981016572762,0.313018983427238
68,1,0.304336430107355,0.695663569892645
69,1,0.236010685149398,0.763989314850602
70,1,0.300056486331554,0.699943513668446
71,0,0.868362940657806,0.131637059342194
72,0,0.60801012862485,0.39198987137515
73,1,0.293121460872524,0.706878539127476
74,1,0.327485725446526,0.672514274553474
75,0,0.591538419665392,0.408461580334608
76,0,0.693655302984088,0.306344697015912
77,1,0.458690897727953,0.541309102272047
78,0,0.712708294654611,0.287291705345389
79,0,0.64539234447928,0.35460765552072
80,1,0.416260570104075,0.583739429895925
81,1,0.268890746547942,0.731109253452058
82,1,0.239074798282651,0.760925201717349
83,1,0.495292021771765,0.504707978228235
84,1,0.403288630048039,0.596711369951961
85,0,0.678999685386973,0.321000314613027
86,0,0.909972729716666,0.0900272702833339
87,0,0.729994215312265,0.270005784687735
88,1,0.207970883981719,0.792029116018281
89,0,0.676546384843837,0.323453615156163
90,1,0.393297757479583,0.606702242520417
91,1,0.275233159295724,0.724766840704276
92,0,0.615333027028505,0.384666972971495
93,1,0.401485495541745,0.598514504458255
94,1,0.27074196716499,0.72925803283501
95,1,0.460937750069659,0.539062249930341
96,0,0.586746266611903,0.413253733388097
97,0,0.591561741420629,0.408438258579371
98,0,0.58281357738591,0.41718642261409
99,0,0.550182309317572,0.449817690682428
100,0,0.559946975768202,0.440053024231798
