,Predicted_Type
1,1.02481026612721
2,1.06768378539008
3,1.08801177796671
4,0.949308851072119
5,1.39235635377747
6,0.943812240876753
7,0.993512415058129
8,1.03143506297544
9,1.07206493573428
10,1.1230779974262
11,0.962962209771619
12,1.09930033654725
13,1.05430255588497
14,0.916212305426139
15,0.86389315713971
16,1.06336268053725
17,1.06296847991316
18,1.127014339563
19,0.872700074632766
20,1.15137642723803
21,1.17489110117111
22,1.36754434622965
23,1.06650798249111
24,1.22039896344037
25,1.24418681949946
26,1.34206457517982
27,1.04712283452839
28,1.19153874102605
29,1.15242352881013
30,1.18124321463521
31,1.12723984535623
32,1.03449424645377
33,1.17689606590023
34,1.09338013142158
35,1.18384657782888
36,1.25975863544312
37,1.18552066781195
38,1.24639485445212
39,1.22233384394543
40,1.12030321656434
41,1.21341675905001
42,1.26820174055454
43,0.992705610352049
44,1.43682585183633
45,1.27880350062699
46,1.16836278956238
47,1.0662954021023
48,1.13411523339678
49,1.20427625619773
50,1.05353354273088
51,1.10117149622762
52,1.02018358601568
53,0.986627378230655
54,1.03183907734815
55,1.15036182232807
56,1.26504415613318
57,1.16589011518316
58,1.04184380238324
59,1.01975809273232
60,2.4369812838989
61,1.93365390092016
62,2.46624614526619
63,1.75428393805613
64,1.80995857046444
65,2.09558516653488
66,1.53277033130961
67,1.51129542542943
68,1.95431006334851
69,1.71103728097798
70,1.88584211501262
71,1.99300210298725
72,1.72768681738052
73,2.15253321689353
74,1.51043762437865
75,1.69165570084442
76,2.30174871152953
77,2.03150693066983
78,2.12160257930139
79,1.61747580120103
80,1.8017465126546
81,2.11175277986597
82,1.48821952076513
83,2.07715430131333
84,2.28170586630967
85,1.70445448153277
86,1.77262880558876
87,2.28466850063654
88,2.22285410577301
89,1.90373673750527
90,2.03324664827289
91,2.05008944077199
92,2.44659862376037
93,2.16621089763997
94,1.90429010861176
95,2.11749919507003
96,1.44298260809044
97,2.31319759137486
98,1.75289418954761
99,1.43241974377441
100,1.61921177664011
101,1.70632042973579
102,2.01551642916485
103,1.87599205598229
104,2.55917866533543
105,1.73163153858928
106,2.06602948214409
107,1.79835616997476
108,2.11184203359708
109,2.19563970675405
110,1.44957784286494
111,2.0567709133752
112,2.1363390711091
113,1.64728472460281
114,2.27497541658184
115,1.98981179293468
116,2.18788937235745
117,2.17311311272498
118,2.14864046000095
119,2.31917070451202
120,1.92688954858021
121,1.60057009232656
122,1.32907730517263
123,2.15678007346307
124,1.86232322549944
125,1.750503862153
126,1.88034425844214
127,1.8218489358915
128,2.36725036568889
129,2.17477799078426
130,2.08247207825821
131,2.190001970767
132,2.55176021244106
133,3.13629126519791
134,2.79303772098166
135,2.63284639848465
136,2.60073902159757
137,2.68229264376339
138,3.58298081950497
139,2.68918702139212
140,2.99303306298156
141,2.37321154826885
142,2.14670632443159
143,2.68845003096701
144,2.39739055507331
145,2.36319845138543
146,2.36112317057989
147,3.33255242270814
148,2.98356725121667
149,3.01483158828414
150,2.93288753492995
151,2.89737689188488
152,3.51830675339747
153,3.85405275414952
154,2.74423078898389
155,3.21955058473223
156,2.95274477149223
157,2.99272763970134
158,3.08779427290532
159,2.96659151124873
160,3.16103701322227
161,3.57759745918887
162,2.30656546199287
163,2.67977741418369
164,2.31444845069832
165,3.12269207954541
166,3.26380837021244
167,2.92279784511457
168,2.999356742478
169,2.64004380569788
170,2.9402608697926
171,3.10787977754197
172,3.95971817165417
173,2.56722020820312
174,2.42858965388578
175,2.72574358419182
176,2.62235255566401
177,2.44019378390915
178,3.20883243253169
