,Predicted_Species,NonVersicolorProbability,VersicolorProbability
1,0,0.940762044644226,0.059237955355774
2,0,0.742287435900679,0.257712564099321
3,0,0.848770376453255,0.151229623546745
4,0,0.741941226673873,0.258058773326127
5,0,0.955967979770323,0.044032020229677
6,0,0.992145190041103,0.00785480995889687
7,0,0.924641064503141,0.0753589354968587
8,0,0.89816012920849,0.10183987079151
9,0,0.634769362467994,0.365230637532006
10,0,0.708272452060433,0.291727547939567
11,0,0.970816628927539,0.0291833710724607
12,0,0.869825981423671,0.130174018576329
13,0,0.670687934491914,0.329312065508086
14,0,0.719922215074178,0.280077784925822
15,0,0.997364842148981,0.00263515785101855
16,0,0.999797509737203,0.000202490262796805
17,0,0.997304241861262,0.00269575813873833
18,0,0.959324631127295,0.0406753688727049
19,0,0.983951417458264,0.0160485825417362
20,0,0.984818696467419,0.0151813035325813
21,0,0.883996870576807,0.116003129423193
22,0,0.985208502932876,0.0147914970671238
23,0,0.975302381294231,0.0246976187057693
24,0,0.931651500147237,0.0683484998527629
25,0,0.802411943168188,0.197588056831812
26,0,0.689269363660473,0.310730636339527
27,0,0.938556570458027,0.0614434295419732
28,0,0.932717021883709,0.0672829781162911
29,0,0.921715559072029,0.0782844409279711
30,0,0.775137341564373,0.224862658435627
31,0,0.729524763031969,0.270475236968031
32,0,0.959257945319647,0.0407420546803526
33,0,0.99043588755894,0.00956411244105999
34,0,0.997938462116976,0.00206153788302361
35,0,0.767318386012508,0.232681613987492
36,0,0.885636272362326,0.114363727637674
37,0,0.960844647729439,0.0391553522705606
38,0,0.932816317214644,0.067183682785356
39,0,0.728298973171432,0.271701026828568
40,0,0.902862911239208,0.0971370887607917
41,0,0.964678703688638,0.0353212963113618
42,1,0.350672239895583,0.649327760104417
43,0,0.829063648599362,0.170936351400638
44,0,0.98112526964283,0.0188747303571698
45,0,0.97614592559141,0.0238540744085899
46,0,0.789651304728057,0.210348695271943
47,0,0.970745276595277,0.0292547234047234
48,0,0.819248842910009,0.180751157089991
49,0,0.968981589302266,0.0310184106977337
50,0,0.883272681697249,0.116727318302751
51,0,0.761211696815193,0.238788303184807
52,0,0.819650503900499,0.180349496099501
53,0,0.694999693090707,0.305000306909293
54,1,0.219106454943065,0.780893545056935
55,0,0.564968200491916,0.435031799508084
56,1,0.37324911720859,0.62675088279141
57,0,0.854674811509759,0.145325188490241
58,1,0.252082569427253,0.747917430572747
59,1,0.499392671013976,0.500607328986024
60,0,0.541073807492917,0.458926192507083
61,1,0.0654995373441589,0.934500462655841
